,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
747,,,,,,,,,,,,,,,,,003-PRECINCT-5,AURORA,Precinct-5,128.0,61.0,11.0,1.0,135.0,62.0,128.0,74.0,153.0,44.0,003,right_only
748,,,,,,,,,,,,,,,,,003-PRECINCT-3,AURORA,Precinct-3,290.0,101.0,19.0,6.0,314.0,107.0,262.0,159.0,362.0,61.0,003,right_only
749,,,,,,,,,,,,,,,,,003-PRECINCT-2,AURORA,Precinct-2,120.0,23.0,7.0,3.0,121.0,32.0,107.0,50.0,145.0,10.0,003,right_only
750,,,,,,,,,,,,,,,,,003-PRECINCT-1,AURORA,Precinct-1,230.0,62.0,11.0,4.0,254.0,60.0,229.0,85.0,270.0,40.0,003,right_only
751,,,,,,,,,,,,,,,,,003-PRECINCT-7,AURORA,Precinct-7,206.0,93.0,26.0,5.0,249.0,82.0,203.0,124.0,271.0,53.0,003,right_only
752,,,,,,,,,,,,,,,,,005-PRECINCT-W7-1,BEADLE,Precinct-W7-1,534.0,223.0,33.0,5.0,599.0,203.0,521.0,277.0,644.0,140.0,005,right_only
753,,,,,,,,,,,,,,,,,005-PRECINCT-W1,BEADLE,Precinct-W1,817.0,330.0,63.0,16.0,900.0,348.0,828.0,417.0,946.0,276.0,005,right_only
754,,,,,,,,,,,,,,,,,005-PRECINCT-W8-1,BEADLE,Precinct-W8-1,354.0,233.0,27.0,7.0,453.0,182.0,376.0,253.0,488.0,123.0,005,right_only
755,,,,,,,,,,,,,,,,,005-PRECINCT-W8-2,BEADLE,Precinct-W8-2,462.0,203.0,30.0,11.0,538.0,173.0,478.0,235.0,584.0,119.0,005,right_only
756,,,,,,,,,,,,,,,,,005-PRECINCT-17,BEADLE,Precinct-17,202.0,60.0,22.0,1.0,228.0,60.0,194.0,92.0,223.0,58.0,005,right_only
757,,,,,,,,,,,,,,,,,005-PRECINCT-15,BEADLE,Precinct-15,223.0,28.0,3.0,0.0,228.0,26.0,214.0,35.0,228.0,18.0,005,right_only
758,,,,,,,,,,,,,,,,,005-PRECINCT-12,BEADLE,Precinct-12,616.0,181.0,38.0,14.0,677.0,184.0,593.0,261.0,726.0,115.0,005,right_only
759,,,,,,,,,,,,,,,,,005-PRECINCT-W3,BEADLE,Precinct-W3,377.0,212.0,29.0,9.0,437.0,188.0,385.0,240.0,462.0,142.0,005,right_only
760,,,,,,,,,,,,,,,,,005-PRECINCT-W7-2,BEADLE,Precinct-W7-2,505.0,212.0,35.0,7.0,584.0,200.0,534.0,252.0,643.0,132.0,005,right_only
761,,,,,,,,,,,,,,,,,005-PRECINCT-W2,BEADLE,Precinct-W2,365.0,230.0,43.0,12.0,405.0,245.0,368.0,278.0,432.0,208.0,005,right_only
762,,,,,,,,,,,,,,,,,007-ALLEN PRECINCT,BENNETT,Allen Precinct,70.0,183.0,11.0,2.0,112.0,148.0,96.0,166.0,83.0,179.0,007,right_only
