election_ID,vest_ID
003-PRECINCT-1,003-PRECINCT 1
003-PRECINCT-2,003-PRECINCT 2
003-PRECINCT-3,003-PRECINCT 3
003-PRECINCT-5,003-PRECINCT 5
003-PRECINCT-7,003-PRECINCT 7
005-PRECINCT-12,005-PRECINCT 12
005-PRECINCT-15,005-PRECINCT 15
005-PRECINCT-17,005-PRECINCT 17
005-PRECINCT-W1,005-PRECINCT 1
005-PRECINCT-W2,005-PRECINCT 2
005-PRECINCT-W3,005-PRECINCT 3
005-PRECINCT-W7-1,005-PRECINCT 7-1
005-PRECINCT-W7-2,005-PRECINCT 7-2
005-PRECINCT-W8-1,005-PRECINCT 8-1
005-PRECINCT-W8-2,005-PRECINCT 8-2
007-ALLEN PRECINCT,007-ALLEN
007-MARTIN RURAL 26/27 PRECINCT,007-MARTIN RURAL 26/27
007-VETAL/TUTHILL PRECINCT,007-VETAL-TUTHILL
009-PRECINCT-1,009-SCOTLAND PRECINCT 1
009-PRECINCT-2,009-AVON PRECINCT 2
009-PRECINCT-3,009-TYNDALL PRECINCT 3
009-PRECINCT-4,009-TABOR PRECINCT 4
009-PRECINCT-5,009-SPRINGFIELD PRECINCT 5
015-PRECINCT-01,015-PRECINCT 1
015-PRECINCT-02,015-CHAMBERLAIN DISTRICT 2
015-PRECINCT-03,015-PRECINCT 3
015-PRECINCT-04,015-CHAMBERLAIN DISTRICT 4
015-PRECINCT-05,015-PRECINCT 5
017-PRECINCT-1,017-PRECINCT 1
017-PRECINCT-2,017-PRECINCT 2
017-PRECINCT-3,017-PRECINCT 3
019-PRECINCT-11,019-PRECINCT 11
019-PRECINCT-12,019-PRECINCT 12
019-PRECINCT-16,019-PRECINCT 16
019-PRECINCT-17,019-PRECINCT 17
019-PRECINCT-18,019-PRECINCT 18
019-PRECINCT-20,019-PRECINCT 20
019-PRECINCT-21,019-PRECINCT 21
019-PRECINCT-22,019-PRECINCT 22
019-PRECINCT-23,019-PRECINCT 23
019-PRECINCT-24,019-PRECINCT 24
019-PRECINCT-25,019-PRECINCT 25
019-PRECINCT-26,019-PRECINCT 26
019-PRECINCT-27,019-PRECINCT 27
019-PRECINCT-28,019-PRECINCT 28
019-PRECINCT-06,019-PRECINCT 6
"019-PRECINCT-08 (PRECINCT-13, PRECINCT-14)",019-PRECINCT 8 (13/14)
021-PRECINCT-1,021-PRECINCT 1 HERREID CITY
021-PRECINCT-2,021-PRECINCT 2
021-PRECINCT-3,021-PRECINCT 3
021-PRECINCT-4,021-PRECINCT 4
021-PRECINCT-5,021-PRECINCT 5
023-PRECINCT-01,023-PRECINCT 1
023-PRECINCT-02,023-PRECINCT 2
023-PRECINCT-03,023-WAGNER PRECINCT 3
023-PRECINCT-04,023-PRECINCT 4
023-PRECINCT-05,023-PRECINCT 5
023-PRECINCT-06,023-LAKE ANDES PRECINCT 6
023-PRECINCT-07,023-PRECINCT 7-PICKSTOWN
023-PRECINCT-08,023-PRECINCT 8
023-PRECINCT-09,023-PRECINCT 9
023-PRECINCT-10,023-PRECINCT 10
023-PRECINCT-11,023-PLATTE PRECINCT 11
023-PRECINCT-12,023-GEDDES PRECINCT 12
023-PRECINCT-13,023-PRECINCT 13
025-PRECINCT-01,025-PRECINCT 1
025-PRECINCT-02,025-PRECINCT 2
025-PRECINCT-03,025-PRECINCT 3
025-PRECINCT-04,025-PRECINCT 4
025-PRECINCT-05,025-PRECINCT 5
025-PRECINCT-06,025-PRECINCT 6
025-PRECINCT-07,025-PRECINCT 7
025-PRECINCT-08,025-PRECINCT 8
025-PRECINCT-09,025-PRECINCT 9
025-PRECINCT-10,025-PRECINCT 10
025-PRECINCT-11,025-CLARK WARD 1 (PRECINCT 11)
025-PRECINCT-12,025-CLARK WARD 2 (PRECINCT 12)
025-PRECINCT-13,025-CLARK WARD 3 (PRECINCT 13)
027-PRECINCT-01,027-PRECINCT W01
027-PRECINCT-02,027-PRECINCT W02
027-PRECINCT-03,027-PRECINCT W03
027-PRECINCT-C1,027-VERMILLION PRECINCT CENTRAL - C1
027-PRECINCT-C2,027-VERMILLION PRECINCT CENTRAL - C2
027-PRECINCT-E1,027-VERMILLION PRECINCT NORTHEAST - NE1
027-PRECINCT-E2,027-VERMILLION PRECINCT NORTHEAST - NE2
027-PRECINCT-S1,027-VERMILLION PRECINCT SOUTHEAST - SE-1
027-PRECINCT-S2,027-VERMILLION PRECINCT SOUTHEAST - SE-2
027-PRECINCT-W1,027-VERMILLION PRECINCT NORTHWEST - NW1
027-PRECINCT-W2,027-VERMILLION PRECINCT NORTHWEST - NW2
"029-EDEN, PHIPPS, WALLACE",029-EDEN/PHIPPS/WALLACE
"029-FULLER, FLORENCE",029-FLORENCE/FULLER
029-GERMANTOWN (RAUVILLE),029-GERMANTOWN/RAUVILLE
"029-GRACELAND, HENRY, HENRY",029-GRACELAND/HENRY
029-KAMPESKA (RICHLAND),029-KAMPESKA/RICHLAND
"029-KRANZBURG, KRANZBURG",029-KRANZBURG
"029-LEOLA, SOUTH SHORE",029-LEOLA/SOUTH SHORE
029-PRECINCT-A1,029-WATERTOWN WARD A1 (PART OF VOTING DISTRICT 4)
029-PRECINCT-A2,029-WATERTOWN WARD A2 (PART OF VOTING DISTRICT 4)
029-PRECINCT-A3 (PRECINCT-A4),029-WATERTOWN WARD A3/A4 (PART OF VOTING DISTRICT 4)
"029-PRECINCT-B1 (PRECINCT-B4, PRECINCT-E5)",029-WATERTOWN WARD B1/B4/E5 (PART OF VOTING DISTRICT 1)
029-PRECINCT-B2,029-WATERTOWN WARD B2 (PART OF VOTING DISTRICT 1)
