,join_col,G16PRERTRU_x
0,003-PRECINCT 1,230.0
1,003-PRECINCT 2,120.0
2,003-PRECINCT 3,290.0
3,003-PRECINCT 5,128.0
4,003-PRECINCT 7,206.0
5,007-ALLEN,70.0
6,007-VETAL-TUTHILL,150.0
7,007-MARTIN RURAL 26/27,235.0
8,009-SCOTLAND PRECINCT 1,439.0
9,009-AVON PRECINCT 2,371.0
10,009-TYNDALL PRECINCT 3,471.0
11,009-TABOR PRECINCT 4,337.0
12,009-SPRINGFIELD PRECINCT 5,487.0
13,015-CHAMBERLAIN DISTRICT 2,388.0
14,015-CHAMBERLAIN DISTRICT 4,59.0
15,017-PRECINCT 1,92.0
16,017-PRECINCT 2,42.0
17,017-PRECINCT 3,37.0
18,019-PRECINCT 6,48.0
19,019-PRECINCT 11,63.0
20,019-PRECINCT 12,79.0
21,019-PRECINCT 16,570.0
22,019-PRECINCT 17,301.0
23,019-PRECINCT 22,132.0
24,019-PRECINCT 23,174.0
25,019-PRECINCT 18,87.0
26,019-PRECINCT 20,181.0
27,019-PRECINCT 21,177.0
28,019-PRECINCT 24,251.0
29,019-PRECINCT 25,230.0
30,019-PRECINCT 26,184.0
31,019-PRECINCT 27,185.0
32,019-PRECINCT 28,253.0
33,021-PRECINCT 1 HERREID CITY,115.0
34,021-PRECINCT 2,136.0
35,021-PRECINCT 3,152.0
36,021-PRECINCT 4,145.0
37,021-PRECINCT 5,156.0
38,023-PRECINCT 1,267.0
39,023-PRECINCT 2,125.0
40,023-PRECINCT 4,73.0
41,023-PRECINCT 5,210.0
42,023-PRECINCT 7-PICKSTOWN,87.0
43,023-PRECINCT 9,320.0
44,023-PRECINCT 10,91.0
45,023-PRECINCT 8,143.0
46,023-PRECINCT 13,44.0
47,027-VERMILLION PRECINCT CENTRAL - C1,78.0
48,027-VERMILLION PRECINCT CENTRAL - C2,74.0
49,027-PRECINCT W01,271.0
50,027-PRECINCT W02,204.0
51,027-PRECINCT W03,472.0
52,027-VERMILLION PRECINCT NORTHEAST - NE1,135.0
53,027-VERMILLION PRECINCT NORTHEAST - NE2,46.0
54,027-VERMILLION PRECINCT NORTHWEST - NW1,219.0
55,027-VERMILLION PRECINCT NORTHWEST - NW2,156.0
56,027-VERMILLION PRECINCT SOUTHEAST - SE-1,265.0
57,027-VERMILLION PRECINCT SOUTHEAST - SE-2,189.0
58,029-WATERTOWN WARD A1 (PART OF VOTING DISTRICT 4),698.0
59,029-WATERTOWN WARD C3 (PART OF VOTING DISTRICT 2),315.0
60,029-WATERTOWN WARD A2 (PART OF VOTING DISTRICT 4),335.0
61,029-WATERTOWN WARD B2 (PART OF VOTING DISTRICT 1),478.0
62,029-WATERTOWN WARD C4 (PART OF VOTING DISTRICT 2),181.0
63,029-WATERTOWN WARD D2 (PART OF VOTING DISTRICT 5),291.0
64,029-WATERTOWN WARD D1 (PART OF VOTING DISTRICT 4),322.0
65,029-WATERTOWN WARD D3 (PART OF VOTING DISTRICT 5),229.0
66,029-WATERTOWN WARD E1 (PART OF VOTING DISTRICT 3),398.0
67,031-PRECINCT BULLHEAD,5.0
68,031-PRECINCT WEST RURAL MCLAUGHLIN,22.0
69,031-PRECINCT KENEL,6.0
70,031-PRECINCT LITTLE EAGLE,17.0
71,031-PRECINCT SOUTH MCLAUGHLIN CITY,66.0
72,031-PRECINCT WAKPALA,6.0
73,031-PRECINCT MORRISTOWN,99.0
74,031-PRECINCT GRAND VALLEY,63.0
75,031-PRECINCT RIDGELAND,49.0
76,031-PRECINCT STONE CHURCH,73.0
77,033-BUFFALO GAP #3,132.0
78,033-BEAR ROCK #9,845.0
79,033-ELK MOUNTAIN #10,125.0
80,033-FAIRBURN #2,114.0
81,033-HERMOSA #1,706.0
82,033-PRINGLE #4,240.0
83,033-SENTINEL HILL #5,491.0
84,033-CUSTER CITY #6 WARD I,250.0
85,033-CUSTER CITY #7 WARD II,134.0
86,035-MITCHELL PRECINCT 14,218.0
87,035-MITCHELL PRECINCT 10,249.0
88,035-MITCHELL PRECINCT 09,250.0
89,"035-COUNTY PRECINCT 2 - BAKER, UNION, MT VERNON TWNSHIPS & MT VERNON CITY",311.0
90,035-MITCHELL PRECINCT 11,250.0
91,035-MITCHELL PRECINCT 16,211.0
92,035-MITCHELL PRECINCT 15,358.0
93,035-MITCHELL PRECINCT 08,280.0
94,035-COUNTY PRECINCT 1- ROME & TOBIN TWNSHIPS & ETHAN TOWN,219.0
95,035-MITCHELL PRECINCT 19,278.0
96,035-MITCHELL PRECINCT 20,459.0
97,"035-COUNTY PRECINCT 3 - BEULAH, LISBON, PROSPER & S 1/2 OF MITCHELL TWNSHIPS",472.0
98,037-PRECINCT AT- ANDOVERTOWN&TWP,79.0
99,037-PRECINCT BR- BRISTOLCITY-BRISTO-KIDDERTWP,141.0
100,037-PRECINCT FP FRM-HMER-IND-UNIN-LYN-PIRPOTTOWN,100.0
101,037-PRECINCT LT SLD-OG-VY-TY-BLR-YK-BTLTN-LILYTWN,78.0
102,037-PRECINCT GK-GRENVILLETOWN-GREN-KOSCIUSKOTWP,109.0
103,037-PRECINCT RR- RARITAN-LIBERTY-NUTLEY-ROSLYNTWN,124.0
104,039-PRECINCT 1,90.0
105,039-PRECINCT 3,202.0
106,039-PRECINCT 4,105.0
107,039-PRECINCT 5,99.0
108,039-PRECINCT 6,112.0
109,039-PRECINCT 7,140.0
110,039-PRECINCT 8,168.0
111,039-PRECINCT 9,207.0
112,039-PRECINCT 10,111.0
113,039-PRECINCT 11,132.0
114,041-PRECINCT 2,37.0
115,041-PRECINCT 5,39.0
116,041-PRECINCT 6,114.0
117,041-PRECINCT 7,30.0
118,041-PRECINCT 8,8.0
119,041-PRECINCT 9,31.0
120,041-PRECINCT 14,67.0
121,041-PRECINCT 15,63.0
122,043-PRECINCT 1,341.0
123,043-PRECINCT 2,252.0
124,043-PRECINCT 3,225.0
125,043-PRECINCT 4 ARMOURTOWN,245.0
126,043-PRECINCT 5,275.0
127,045-01 PEM-CORT-UNION-RICH-KENT-CLTWP,321.0
128,045-02 IPSWICHCITY,282.0
129,045-03 ADRIAN-ROSETTE-BELLE-IPSWICH-HUNTY-CLEV-HARMONY-FOU-LIBERTY-POWETWP,241.0
130,045-04 GLEN-GLOVER-NBRY-BRY-MONT-VERMONTTWP-ROSCOE CITY,183.0
131,045-05 MODENA-BOWDLE-COTTONWOOD-ODESSA-CLOYD-HUDSON-MADISON-HILLSIDETWP-BOWDLECITY,295.0
132,045-06 SANGAMON-HOSMER-HOSMERCITY,111.0
133,047-BEAVER,122.0
134,047-CASCADE,123.0
135,047-HOT SPRINGS 1,270.0
136,047-HOT SPRINGS 2,294.0
137,047-HOT SPRINGS 3,253.0
138,047-HOT SPRINGS 4,201.0
139,047-JACKSON,658.0
140,049-PRECINCT 1 UNION-WESLEYTWP-CHELSEATOWN-DEVOE-FAIRVIEW-CRESBARD TOWN,139.0
141,049-PRECINCT 2 ENTPRS-FRDOM-EMRSON-SARTGA-PULSK-MYRNTWP,81.0
142,049-PRECINCT 3,109.0
143,049-PRECINCT 4 IRVING-ORIENT-ARCADETWP-ORIENTTOWN,74.0
144,049-PRECINCT 5 CENTRVIL-PIONER-HILDAL-ZLLTWP-RCKHMTOWN,83.0
145,053-GREGORY COUNTY PRECINCT 1,758.0
146,053-GREGORY COUNTY PRECINCT 2,569.0
147,053-GREGORY COUNTY PRECINCT 3,273.0
148,055-PRECINCT 1,96.0
149,055-PRECINCT 4,129.0
150,055-PRECINCT 16,188.0
151,055-PRECINCT 19,162.0
152,055-PRECINCT 20,180.0
153,055-PRECINCT 17,181.0
154,057-BRYANT PRECINCT,240.0
155,057-CASTLEWOOD PRECINCT,483.0
156,057-ESTELLINE PRECINCT,285.0
157,057-HAYTI PRECINCT,338.0
158,057-HAZEL PRECINCT,109.0
159,057-NORDEN PRECINCT,471.0
160,057-OXFORD PRECINCT,125.0
161,059-PRECINCT 4,42.0
162,059-PRECINCT 6,124.0
163,061-PRECINCT 1,689.0
164,061-PRECINCT 2,244.0
165,061-PRECINCT 3,236.0
166,061-PRECINCT 4,230.0
167,061-PRECINCT 5,98.0
168,063-PRECINCT BUFFALO TOWN,140.0
169,063-PRECINCT CAMP CROOK,110.0
170,063-PRECINCT FILLMORE,48.0
171,063-PRECINCT HILTON,101.0
172,063-PRECINCT LADNER,42.0
173,063-PRECINCT LUDLOW,81.0
174,063-PRECINCT POPLAR GROVE,55.0
175,063-PRECINCT REVA,118.0
176,067-PRECINCT 1,536.0
177,067-PRECINCT 2,547.0
178,067-PRECINCT 3,120.0
179,067-PRECINCT 4,332.0
180,067-PRECINCT 5 CITY OF PARKSTON,466.0
181,067-PRECINCT 6,350.0
182,067-PRECINCT 7,166.0
