,join_col
737,"069-PRECINCT 1,2,3"
738,102-BATESLAND
739,102-CUNY TABLE
740,102-KYLE
741,102-MANDERSON
742,102-OGLALA
743,102-PINE RIDGE #1
744,102-PINE RIDGE #3
745,102-PORCUPINE
746,102-ROCKYFORD
747,011-1-1 BROOKINGS ACTIVITY CENTER
748,011-1-10 VOLGA COMMUNITY CENTER
749,011-1-11 HOLY LIFE TABERNACLE
750,011-1-2 BETHEL BAPTIST CHURCH
751,011-1-3 SWIFTEL CENTER
752,011-1-4 AURORA LITTLE HALL
753,011-1-5 ELKTON COMMUNITY CENTER
754,011-1-6 MCKNIGHT HALL
755,011-1-7 BRUCE CITY HALL
756,011-1-8 TRINITY LUTHERAN CHURCH
757,011-1-9 SINAI AMERICAN LEGION
758,013-AMERICINN EVENT CENTER
759,013-BEST WESTERN RAMKOTA HOTEL AND CONVENTION CENTER
760,013-CLAREMONT FIRE STATION
761,013-COLUMBIA AMERICAN LEGION
762,013-COURTHOUSE COMMUNITY ROOM
763,013-EXPRESS VOTE
764,013-FREDERICK COMMUNITY CENTER
765,013-GROTON COMMUNITY CENTER
766,013-HECLA COMMUNITY CENTER
767,013-STRATFORD COMMUNTY CENTER
768,013-WARNER COMMUNITY CENTER
769,013-WESTPORT COMMUNITY CENTER
770,065-BLUNT CITY HALL
771,065-FAITH LUTHERAN CHURCH
772,065-HARROLD CITY AUDITORIUM
773,065-HYDE RESIDENCE
774,065-LUTHERAN MEMORIAL CHURCH
775,065-NEW LIFE ASSEMBLY OF GOD CHURCH
776,065-PILC REC CENTER
777,107-GETTYSBURG LEGION ANNEX
778,107-HOVEN AMERICAN LEGION
779,119-AGAR FIRE HALL
780,119-BILL FLOYD SHOP
781,119-PHOENIX CENTER
782,135-GAYVILLE COMMUNITY CENTER
783,135-JODEAN'S STEAKHOUSE AND LOUNGE
784,135-LESTERVILLE FIRE HALL
785,135-LEWIS AND CLARK REC AREA
786,135-MAYFIELD STORE
787,135-NATIONAL FIELD ARCHERY ASSOC.
788,135-YANKTON CITY HALL
