join_col,G18GOVRNOE_x,G18HALRJOH_x
,165,180
,90,94
,168,199
,78,90
,143,165
,405,502
,214,225
,139,171
,48,66
,205,207
,123,130
,222,316
,308,366
,342,402
,185,240
,246,350
011-PRECINCT 1,125,153
011-PRECINCT 10,297,365
011-PRECINCT 11,278,342
011-PRECINCT 12,140,172
011-PRECINCT 13,122,150
011-PRECINCT 14,572,702
011-PRECINCT 15,74,91
011-PRECINCT 16,208,256
011-PRECINCT 2,209,257
011-PRECINCT 3,215,264
011-PRECINCT 4,499,613
011-PRECINCT 5,964,1184
011-PRECINCT 6,883,1085
011-PRECINCT 8,328,403
011-PRECINCT 9,311,381
013-PRECINCT 1 ABERDEEN,503,615
013-PRECINCT 10 ABERDEEN,133,163
013-PRECINCT 11 ABERDEEN,214,261
013-PRECINCT 12 EABERDEEN,336,411
013-PRECINCT 13 SHLBY--CLMBIA-CMBRIA-ORDWYTWP-CLMBIACITY,163,200
013-PRECINCT 14 ONEOTA-BRNRD-WSTPRT-GRLNDTWP-WESTPRTCTY,100,123
013-PRECINCT 15 FRANKLIN-CARLISLE-RAVINIA-MERCIER-LINCOLNTWP,479,587
013-PRECINCT 16 WABERDEENTWP,190,233
013-PRECINCT 17 HIGHLAND-NEWHOPE-WARNERTWP-WARNER,244,298
013-PRECINCT 18 GEM-WRONDELL-ERONDELLTWP-STRATFORD,98,119
013-PRECINCT 19,412,504
013-PRECINCT 2 ABERDEEN,263,322
013-PRECINCT 20 SDETROIT-CLAREMONTTWP-CLAREMONTCITY,62,76
013-PRECINCT 21 LBRT-HCLA-PRT-GRNLD-LNSG-NTH-DTRTTWP-HCLCY,87,106
013-PRECINCT 22 PLMR-OCLA-SAVO-ALSN-FRDRCK-RCHDTWP-FRDRCY,96,117
013-PRECINCT 3 ABERDEEN,609,745
013-PRECINCT 4 ABERDEEN,220,270
013-PRECINCT 5 ABERDEEN,163,200
013-PRECINCT 6 ABERDEEN,782,957
013-PRECINCT 7 ABERDEEN,903,1105
013-PRECINCT 8 ABERDEEN,354,433
013-PRECINCT 9 ABERDEEN,410,501
,243,226
,53,53
,534,655
,213,226
,60,71
,80,77
,26,36
,32,59
,50,53
,68,72
,428,480
,229,253
,73,62
,131,148
,121,130
,96,107
,105,124
,191,213
,209,235
,129,151
,136,156
,182,224
,36,36
,321,355
,92,100
,103,115
,124,131
,107,122
,124,133
,39,58
,44,69
,388,458
,219,265
,115,127
,38,39
,74,92
,44,74
,146,182
,62,77
,96,122
,245,293
,151,229
,71,88
,86,97
,123,168
,74,90
,44,66
,88,112
,56,81
,62,81
,63,84
,29,52
,62,75
,59,83
,62,73
,196,230
,146,172
,356,434
,46,72
,25,36
,86,109
,43,47
,148,183
,107,143
,238,294
,161,186
,177,221
,67,84
,107,121
,112,145
,129,152
,145,173
,410,461
,60,73
,557,678
,281,345
,345,416
,408,498
,342,440
,306,388
,144,188
,315,391
,231,291
,200,245
,152,189
,415,512
,640,736
,8,10
,50,54
,9,9
,44,46
,13,17
,80,98
,57,63
,40,40
,42,48
,56,66
,3,8
,24,25
,763,796
,97,99
,207,210
,118,125
,233,255
,92,99
,97,110
,590,633
,223,230
,369,387
,143,177
,216,232
,400,466
,370,467
,456,624
,371,469
,358,468
,279,361
,270,328
,245,315
,335,451
,336,449
,128,141
,112,153
,76,89
,86,110
,76,95
,106,139
,42,54
,101,136
,105,132
,78,111
,83,100
,56,77
,73,103
,85,101
,74,84
,95,106
,85,112
,177,199
,80,96
,69,101
,91,116
,90,100
,146,175
,146,183
,7,16
,31,67
,24,57
,30,52
,33,36
,158,217
,14,39
,64,82
,10,27
,4,5
,18,25
,288,288
,204,227
,182,182
,192,203
,254,262
,258,286
,180,224
,167,181
,123,125
,211,239
,79,92
,93,106
,121,123
,319,334
,218,207
,230,240
,203,214
,163,171
,564,585
,114,124
,82,86
,80,91
,71,75
,60,71
,133,163
,134,170
,149,180
,32,44
,47,57
,188,227
,27,33
,54,60
,200,243
,106,126
,167,185
,218,237
,76,82
,71,99
,107,131
,128,167
,58,67
,37,48
,28,31
,87,104
,513,699
,356,521
,238,264
,62,73
,154,164
,136,147
,143,155
,136,146
,103,111
,188,218
,430,464
,221,267
,283,312
,109,110
,429,451
,104,117
,148,160
,174,237
,219,283
,49,61
,124,149
,75,98
,58,71
,103,112
,358,354
,176,200
,145,170
,185,208
,81,90
,107,113
,54,73
,40,40
,72,90
,25,32
,59,64
,48,52
,100,104
065-PIERRE PRECINCT 21,165,237
065-PIERRE PRECINCT 23,200,286
065-PIERRE PRECINCT 24,245,350
065-PIERRE PRECINCT 26,252,361
065-PIERRE PRECINCT 28,226,324
065-PIERRE PRECINCT 29,124,177
065-PIERRE PRECINCT 30,359,514
065-PIERRE PRECINCT 31,413,591
065-PIERRE PRECINCT 32,243,347
065-PIERRE PRECINCT 33,221,317
065-PIERRE PRECINCT 34,394,564
065-PRECINCT 11,709,1015
065-PRECINCT 5,107,153
065-PRECINCT 7,63,90
065-PRECINCT 9,28,40
,472,477
,457,435
,97,86
,313,382
,350,436
,255,303
,138,162
069-PRECINCT 1,109,124
069-PRECINCT 2,88,100
069-PRECINCT 3,210,238
,30,31
,32,41
,73,78
,77,94
,62,73
,146,154
,47,56
,46,48
,217,264
,90,94
,75,90
,41,48
,55,71
,130,155
,110,137
,121,128
,263,303
,144,180
,437,517
,113,124
,233,260
,113,123
,248,287
,119,143
,178,214
,213,269
,255,314
,647,828
,235,334
,258,324
,106,127
,224,270
,211,265
,541,652
,165,159
,415,467
,1433,1598
,623,753
,832,946
,984,1143
,134,177
,646,708
,241,274
,403,489
,183,238
,229,254
,555,602
,121,137
,385,458
,515,614
,265,294
,118,128
,168,195
,485,563
,125,136
,261,305
,136,156
,228,249
,846,971
,569,676
,238,291
,347,424
,306,383
,246,279
,620,728
,881,1001
,942,1110
,368,439
,1103,1262
,567,661
,609,698
,834,1034
,41,47
,201,239
,58,76
,167,185
,65,80
,11,22
,148,181
,243,247
,65,75
,294,262
,312,264
,284,329
,177,196
,34,31
,144,161
,134,148
,146,157
,150,161
,121,140
,109,131
,63,76
,112,147
,100,129
,70,80
,156,171
,87,99
,70,87
,86,104
,81,109
,406,459
,177,206
,97,101
,562,605
,428,475
,563,605
,601,655
,304,330
,215,245
,193,209
,66,67
,58,65
,284,303
,22,38
,216,224
,131,132
,130,128
,27,31
,82,99
,22,28
,67,70
,170,189
,46,57
,35,41
,24,25
,33,36
,82,94
,99,119
,120,144
,52,54
,245,259
,179,223
,166,197
,229,284
,134,171
,67,83
,86,104
,83,90
,66,78
,64,86
,63,69
,47,70
,50,60
,63,84
,42,45
,103,126
,85,113
,70,75
,496,576
,508,630
,400,434
,527,621
,502,552
,490,590
,532,637
,1085,1341
,686,815
,484,568
,543,637
,989,1111
,622,754
,447,536
,720,863
,457,535
,514,608
,359,410
,612,729
,514,594
,744,867
,786,939
,271,291
,275,319
,599,711
,309,358
,370,416
,747,888
,457,521
,237,298
,234,285
,148,168
,226,277
,357,396
,112,123
,683,819
,248,314
,301,360
,210,250
,260,312
,256,316
,257,308
,280,326
,249,281
,310,362
,243,279
,348,407
,176,216
,128,154
,233,287
,345,434
,210,261
,276,372
,133,180
,398,429
,1060,1211
,1184,1289
,570,659
,698,839
,276,301
,776,984
,360,399
,595,686
,541,648
,454,528
,82,100
,451,524
,728,853
,527,597
,366,400
,578,685
,165,217
,162,207
,276,348
,174,203
,194,221
,369,426
,37,36
,17,23
,31,63
,11,18
,34,51
,22,46
,33,48
,17,34
,12,17
,1253,1243
,663,700
,368,400
,239,276
,37,42
,577,635
,227,239
,689,706
,1069,1152
,743,812
,304,318
,128,146
,356,388
,169,172
,749,819
,874,1007
,1283,1450
,476,558
,47,44
,26,26
,641,713
,785,922
,67,74
,299,367
,1690,1911
,475,530
,1285,1495
,179,199
,185,195
,489,531
,389,440
,340,386
,369,408
,208,246
,738,813
,985,1115
,519,632
,189,214
,490,550
,793,873
,539,578
,243,272
,718,776
,52,60
,141,142
,194,237
,59,67
,192,202
,39,36
,91,94
,69,88
,79,91
,38,48
,51,59
107-PRECINCT 23,154,173
107-PRECINCT 25,94,106
107-PRECINCT 26,158,177
107-PRECINCT 27,196,220
107-PRECINCT 35,173,195
107-PRECINCT 36,46,52
,71,94
,63,78
,291,334
,101,125
,96,121
,255,278
,88,104
,25,35
,118,141
,294,312
,30,58
,211,235
,133,155
,172,192
,149,178
,139,153
,238,277
,204,273
,165,199
,148,185
,104,122
,45,66
,221,263
,69,84
,182,267
,650,911
,48,51
,64,80
119-PRECINCT 1,92,113
119-PRECINCT 2,76,94
119-PRECINCT 3,87,106
119-PRECINCT 4,105,128
119-PRECINCT 5,69,85
119-PRECINCT 6,71,87
,9,14
,55,59
,78,81
,71,109
,36,42
,21,35
,41,56
,38,56
,41,54
,82,98
,212,253
,58,67
,46,55
,87,117
,196,234
,53,72
,130,172
,153,206
,85,104
,171,232
,98,131
,59,73
,471,451
,481,539
,182,192
,198,199
,290,340
,251,288
,75,94
,324,364
,188,194
,285,289
,324,342
,536,549
,796,808
,174,196
,320,364
,165,178
,232,247
,281,308
,339,342
,227,257
,201,208
,101,111
,94,114
,276,322
,84,91
,175,194
,274,308
,257,284
,61,61
,44,51
,102,112
135-PRECINCT 1 YANKTONCITY,226,285
135-PRECINCT 10 VOLINTOWN,11,14
135-PRECINCT 11 MISSIONHILLTOWN,23,29
135-PRECINCT 12 UTICATOWN,12,15
135-PRECINCT 13 LESTERVILLETOWN,31,39
135-PRECINCT 14,162,204
135-PRECINCT 16 JAMESVILLETWP,35,44
135-PRECINCT 17 ODESSATWP,38,48
135-PRECINCT 18 LESTERVILLETWP,33,42
135-PRECINCT 19 CENTRALTWP,47,59
135-PRECINCT 2 YANKTONCITY,306,386
135-PRECINCT 22 VOLINTWP,72,90
135-PRECINCT 23 MISSIONHILLTWP,107,135
135-PRECINCT 24 UTICATWP,92,116
135-PRECINCT 25 ZISKOVTWP,33,41
135-PRECINCT 26,740,932
135-PRECINCT 28,122,153
135-PRECINCT 29 GAYVILLETWP,61,77
135-PRECINCT 3 YANKTONCITY,436,550
135-PRECINCT 4 YANKTONCITY,468,590
135-PRECINCT 5 YANKTONCITY,1007,1268
135-PRECINCT 9 GAYVILLETOWN,59,74
,5,8
,11,14
,45,65
,27,47
,144,187
,9,19
