,join_col
355,113-BATESLAND
356,113-CUNY TABLE
357,113-KYLE
358,113-MANDERSON
359,113-OGLALA
360,113-PINE RIDGE #1
361,113-PINE RIDGE #3
362,113-PORCUPINE
363,113-ROCKYFORD
642,065-PRECINCT 5
643,065-PRECINCT 7
644,065-PRECINCT 9
645,065-PRECINCT 11
646,065-PIERRE PRECINCT 21
647,065-PIERRE PRECINCT 24
648,065-PIERRE PRECINCT 28
649,065-PIERRE PRECINCT 31
650,065-PIERRE PRECINCT 23
651,065-PIERRE PRECINCT 26
652,065-PIERRE PRECINCT 30
653,065-PIERRE PRECINCT 32
654,065-PIERRE PRECINCT 34
655,065-PIERRE PRECINCT 33
656,013-PRECINCT 1 ABERDEEN
657,013-PRECINCT 2 ABERDEEN
658,013-PRECINCT 4 ABERDEEN
659,013-PRECINCT 5 ABERDEEN
660,013-PRECINCT 10 ABERDEEN
661,013-PRECINCT 13 SHLBY--CLMBIA-CMBRIA-ORDWYTWP-CLMBIACITY
662,013-PRECINCT 14 ONEOTA-BRNRD-WSTPRT-GRLNDTWP-WESTPRTCTY
663,013-PRECINCT 15 FRANKLIN-CARLISLE-RAVINIA-MERCIER-LINCOLNTWP
664,013-PRECINCT 18 GEM-WRONDELL-ERONDELLTWP-STRATFORD
665,013-PRECINCT 19
666,013-PRECINCT 20 SDETROIT-CLAREMONTTWP-CLAREMONTCITY
667,013-PRECINCT 17 HIGHLAND-NEWHOPE-WARNERTWP-WARNER
668,011-PRECINCT 1
669,011-PRECINCT 2
670,011-PRECINCT 3
671,011-PRECINCT 8
672,011-PRECINCT 4
673,011-PRECINCT 5
674,011-PRECINCT 6
675,011-PRECINCT 9
676,011-PRECINCT 13
677,011-PRECINCT 14
678,011-PRECINCT 15
679,011-PRECINCT 16
680,011-PRECINCT 10
681,011-PRECINCT 11
682,011-PRECINCT 12
683,065-PIERRE PRECINCT 29
684,013-PRECINCT 21 LBRT-HCLA-PRT-GRNLD-LNSG-NTH-DTRTTWP-HCLCY
685,013-PRECINCT 22 PLMR-OCLA-SAVO-ALSN-FRDRCK-RCHDTWP-FRDRCY
686,013-PRECINCT 11 ABERDEEN
687,013-PRECINCT 9 ABERDEEN
688,013-PRECINCT 8 ABERDEEN
689,013-PRECINCT 7 ABERDEEN
690,013-PRECINCT 6 ABERDEEN
691,013-PRECINCT 12 EABERDEEN
692,013-PRECINCT 3 ABERDEEN
693,013-PRECINCT 16 WABERDEENTWP
694,069-PRECINCT 1
695,069-PRECINCT 2
696,069-PRECINCT 3
697,107-PRECINCT 25
698,107-PRECINCT 35
699,107-PRECINCT 36
700,107-PRECINCT 23
701,107-PRECINCT 26
702,107-PRECINCT 27
703,135-PRECINCT 16 JAMESVILLETWP
704,135-PRECINCT 14
705,135-PRECINCT 12 UTICATOWN
706,135-PRECINCT 22 VOLINTWP
707,135-PRECINCT 29 GAYVILLETWP
708,135-PRECINCT 9 GAYVILLETOWN
709,135-PRECINCT 10 VOLINTOWN
710,135-PRECINCT 11 MISSIONHILLTOWN
711,135-PRECINCT 17 ODESSATWP
712,135-PRECINCT 13 LESTERVILLETOWN
713,135-PRECINCT 25 ZISKOVTWP
714,135-PRECINCT 3 YANKTONCITY
715,135-PRECINCT 4 YANKTONCITY
716,135-PRECINCT 19 CENTRALTWP
717,135-PRECINCT 18 LESTERVILLETWP
718,119-PRECINCT 6
719,119-PRECINCT 3
720,119-PRECINCT 4
721,119-PRECINCT 2
722,119-PRECINCT 5
723,119-PRECINCT 1
730,135-PRECINCT 1 YANKTONCITY
731,135-PRECINCT 24 UTICATWP
732,135-PRECINCT 5 YANKTONCITY
733,135-PRECINCT 26
734,135-PRECINCT 23 MISSIONHILLTWP
735,135-PRECINCT 28
736,135-PRECINCT 2 YANKTONCITY
